tier,availability_id,cloud_id,gpu_type,gpu_count,region,location,provider,socket,price_value,price_per_hour,stock_status,is_spot,query_gpu_type,query_gpu_count,query_region,query_elapsed_s
4.5b,005e17,NVIDIA GeForce RTX 4090,RTX4090 24GB,1,eu_north,NO,runpod,PCIe,0.6068,$0.61,Low,,RTX4090_24GB,1,eu_north,0.7971757500199601
4.5b,9f7b41,NVIDIA GeForce RTX 4090,RTX4090 24GB,1,eu_north,IS,runpod,PCIe,0.6068,$0.61,Low,,RTX4090_24GB,1,eu_north,0.7971757500199601
4.5b,550d78,NVIDIA GeForce RTX 4090,RTX4090 24GB,4,eu_north,IS,runpod,PCIe,2.3768,$2.38,Low,,RTX4090_24GB,4,eu_north,0.5688732910202816
4.5b,6c7af3,NVIDIA GeForce RTX 4090,RTX4090 24GB,4,eu_north,NO,runpod,PCIe,2.3768,$2.38,Low,,RTX4090_24GB,4,eu_north,0.5688732910202816
4.5b,f7619e,1A6000.10V,A6000 48GB,1,eu_north,FI,datacrunch,PCIe,0.49,$0.49,Available,False,A6000_48GB,1,eu_north,0.5833140419563279
4.5b,dcf20c,NVIDIA RTX A6000,A6000 48GB,1,eu_north,SE,runpod,PCIe,0.5068,$0.51,Low,,A6000_48GB,1,eu_north,0.5833140419563279
4.5b,e0ccd7,NVIDIA RTX A6000,A6000 48GB,4,eu_north,SE,runpod,PCIe,1.9768,$1.98,Low,,A6000_48GB,4,eu_north,0.5916959169553593
4.5b,0ca953,1A100.22V_SPOT,A100 80GB (Spot),1,eu_north,FI,datacrunch,PCIe,0.4515,$0.45,Available,True,A100_80GB,1,eu_north,0.6491359170759097
4.5b,23ff14,1A100.22V,A100 80GB,1,eu_north,FI,datacrunch,PCIe,1.29,$1.29,Available,False,A100_80GB,1,eu_north,0.6491359170759097
4.5b,b9dab8,1H100.80S.32V_SPOT,H100 80GB (Spot),1,eu_north,FI,datacrunch,SXM5,0.8015,$0.80,Available,True,H100_80GB,1,eu_north,0.5791429169476032
4.5b,90d628,1H100.80S.32V,H100 80GB,1,eu_north,FI,datacrunch,SXM5,2.29,$2.29,Available,False,H100_80GB,1,eu_north,0.5791429169476032
4.5b,1fc803,8H100.80S.176V,H100 80GB,8,eu_north,FI,datacrunch,SXM5,18.32,$18.32,Available,False,H100_80GB,8,eu_north,0.5987634579651058
4.5b,468e80,1H200.141S.44V_SPOT,H200 141GB (Spot),1,eu_north,FI,datacrunch,SXM5,1.428,$1.43,Available,True,H200_141GB,1,eu_north,0.568939125048928
4.5b,13c583,gpu-h200-sxm_1gpu-16vcpu-200gb,H200 141GB,1,eu_north,FI,nebius,SXM5,2.668,$2.67,Available,,H200_141GB,1,eu_north,0.568939125048928
4.5b,3fdbbc,gpu-h200-sxm_1gpu-16vcpu-200gb,H200 141GB,1,eu_north,FI,dc_wildebeest,SXM5,2.99,$2.99,Available,,H200_141GB,1,eu_north,0.568939125048928
